Id,Answer
1,b
2,d
3,d
4,d
5,d
6,b
7,d
8,e
9,c
10,b
11,a
12,e
13,d
14,e
15,b
16,c
17,a
18,e
19,e
20,b
21,a
22,e
23,e
24,e
25,b
26,e
27,b
28,a
29,c
30,d
31,e
32,e
33,d
34,e
35,d
36,c
37,a
38,d
39,c
40,b
41,d
42,c
43,b
44,e
45,d
46,e
47,d
48,b
49,e
50,e
51,c
52,e
53,b
54,e
55,c
56,c
57,e
58,d
59,d
60,d
61,e
62,e
63,e
64,d
65,e
66,d
67,e
68,e
69,e
70,d
71,c
72,c
73,e
74,d
75,c
76,c
77,d
78,b
79,e
80,e
81,e
82,d
83,b
84,b
85,e
86,b
87,b
88,c
89,e
90,e
91,e
92,c
93,a
94,e
95,e
96,c
97,e
98,e
99,e
100,e
101,a
102,e
103,e
104,c
105,e
106,d
107,d
108,a
109,d
110,d
111,e
112,d
113,c
114,e
115,c
116,e
117,c
118,b
119,a
120,a
121,e
122,a
123,d
124,c
125,c
126,c
127,e
128,d
129,d
130,a
131,b
132,e
133,e
134,e
135,c
136,e
137,e
138,d
139,c
140,c
141,e
142,e
143,e
144,a
145,e
146,c
147,e
148,c
149,c
150,d
151,e
152,e
153,e
154,c
155,e
156,c
157,d
158,d
159,d
160,e
161,c
162,e
163,c
164,a
165,d
166,b
167,a
168,c
169,c
170,e
171,c
172,b
173,a
174,c
175,d
176,d
177,d
178,c
179,a
180,e
181,b
182,c
183,d
184,c
185,e
186,d
187,e
188,e
189,e
190,c
191,e
192,b
193,d
194,e
195,e
196,b
197,b
198,e
199,e
200,e
201,e
202,e
203,e
204,e
205,b
206,e
207,b
208,e
209,a
210,e
211,d
212,e
213,d
214,b
215,d
216,b
217,e
218,a
219,d
220,b
221,e
222,e
223,d
224,e
225,d
226,c
227,c
228,e
229,e
230,d
231,d
232,e
233,e
234,c
235,e
236,d
237,e
238,b
239,e
240,b
241,e
242,e
243,c
244,c
245,d
246,a
247,e
248,c
249,b
250,e
251,e
252,e
253,e
254,e
255,c
256,b
257,d
258,c
259,d
260,a
261,e
262,d
263,a
264,e
265,b
266,c
267,e
268,c
269,b
270,a
271,d
272,c
273,d
274,d
275,d
276,b
277,e
278,b
279,d
280,e
281,e
282,b
283,e
284,c
285,d
286,c
287,e
288,c
289,e
290,c
291,d
292,d
293,e
294,e
295,b
296,c
297,a
298,c
299,a
300,d
301,d
302,e
303,e
304,d
305,d
306,c
307,a
308,b
309,e
310,b
311,e
312,c
313,e
314,a
315,e
316,d
317,b
318,d
319,a
320,e
321,e
322,e
323,d
324,a
325,e
326,b
327,c
328,d
329,e
330,c
331,a
332,e
333,e
334,c
335,e
336,e
337,b
338,e
339,e
340,e
341,e
342,e
343,d
344,e
345,c
346,e
347,e
348,d
349,a
350,b
351,e
352,e
353,e
354,b
355,e
356,d
357,d
358,e
359,e
360,c
361,a
362,c
363,c
364,c
365,e
366,c
367,c
368,e
369,c
370,d
371,b
372,d
373,e
374,e
375,b
376,e
377,a
378,d
379,e
380,e
381,d
382,b
383,e
384,e
385,e
386,e
387,a
388,d
389,e
390,d
391,c
392,e
393,e
394,e
395,d
396,e
397,b
398,d
399,d
400,d
401,e
402,d
403,c
404,d
405,e
406,b
407,d
408,e
409,a
410,b
411,b
412,b
413,a
414,a
415,e
416,e
417,b
418,e
419,d
420,a
421,e
422,b
423,c
424,b
425,a
426,d
427,c
428,e
429,e
430,d
431,e
432,d
433,d
434,b
435,a
436,c
437,e
438,e
439,d
440,d
441,d
442,d
443,d
444,e
445,d
446,d
447,c
448,e
449,b
450,c
451,d
452,d
453,c
454,e
455,d
456,c
457,d
458,d
459,e
460,d
461,c
462,c
463,c
464,c
465,e
466,d
467,e
468,d
469,e
470,c
471,d
472,d
473,c
474,d
475,e
476,d
477,d
478,d
479,e
480,d
481,c
482,d
483,d
484,b
485,c
486,d
487,e
488,e
489,c
490,b
491,c
492,d
493,c
